what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362706857745
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362707059801
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362707061077
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362707154444
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362707154767
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362707358701
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1362707427548
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362707431734
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.hippieCompletion",1362707461652
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362707537301
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362707539826
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362707539926
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362707540618
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362707541118
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362707563849
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362707565427
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362707566454
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1362707612784
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362707620037
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1362707667138
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362707668808
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362707817994
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362707820425
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362707864071
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362707864264
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362707864433
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362707864624
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362707864824
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1362707978342
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362707980722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362707987137
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362707992370
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362707994017
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362707996671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362707996786
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362708001791
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362708001873
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362708001873
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362708002885
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362708002885
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1362708004040
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362708004040
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362708005326
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362708005378
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1362708005922
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362708006152
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362708006232
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1362708006705
