what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362695460215
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362695461778
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362695461904
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362695463345
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362695464417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362695473020
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362695474206
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362695474521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362695492131
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362695497120
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362695534800
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362695535954
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362695536270
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362695545837
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362695590712
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362695591972
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362695592276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362695608714
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1362695672100
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362695674874
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362695680136
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362695686788
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362695688281
