what,kind,bundleId,bundleVersion,description,time
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1368316152860
started,bundle,com.android.ide.eclipse.traceview,21.1.0.v201302060044-569685,"com.android.ide.eclipse.traceview",1368316153168
opened,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1368316213523
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1368316213561
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1368316314438
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1368316316810
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1368316320699
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1368316320822
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1368316362993
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1368316363260
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1368316363322
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1368316372590
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1368316372812
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1368316373038
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1368316373085
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1368316373380
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1368316373778
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1368316373928
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1368316374921
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1368316381448
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1368316426200
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1368316431027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316440778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316442736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316589055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316595407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316629566
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1368316631624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316633877
error,log,,,"",1368316644412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316644471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1368316644480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1368316644480
error,log,,,"fileChanged: failed to find manifest package for project TimeDiary2",1368316644593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316658399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316669412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316670802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316675506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316857227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316858709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316860510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316895870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316903687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316908031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316913599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316922929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316923087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316929065
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1368316929093
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1368316930930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316938285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316944750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316944806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368316947912
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1368316947928
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1368317146678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317151838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317156948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317157141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317159325
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1368317159350
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1368317160753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317164250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317179526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317179736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317183131
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1368317183159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317184437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317185562
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1368317185693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317188294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317277516
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1368317279084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317282752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317293910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317294067
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317296521
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1368317296559
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1368317304442
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1368317308244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317315998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317319968
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1368317320641
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1368317323932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317331671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317341493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317341943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317371633
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1368317371653
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1368317372416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368317507940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368319345081
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1368319345984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368319350675
error,log,,,"",1368319359468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368319359502
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1368319359514
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1368319359514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368319371392
